"order_id","user_id","order_timestamp","product_id","product_category","product_price","quantity"
ORD5002,CUST1457,2025-02-09 05:16:47.000,P102,Beauty,43400.0,1
ORD5042,CUST1424,2025-01-22 07:47:02.000,P103,Beauty,14800.0,1
ORD5074,CUST1241,2025-01-23 00:44:18.000,P103,Electronics,3900.0,2
ORD5091,CUST1490,2025-03-03 21:21:06.000,P104,Electronics,39400.0,1
ORD5093,CUST1296,2024-12-16 08:58:04.000,P104,Accessories,3600.0,1
ORD5101,CUST1419,2025-01-14 14:41:44.000,P103,Homeware,5200.0,2
ORD5104,CUST1262,2024-12-27 15:44:55.000,P105,Health,10000.0,2
ORD5110,CUST1163,2025-02-10 06:06:00.000,P100,Electronics,8500.0,1
ORD5170,CUST1474,2025-03-05 01:41:37.000,P103,Homeware,24500.0,1
ORD5179,CUST1399,2025-01-12 13:44:02.000,P102,Homeware,41200.0,2
ORD5208,CUST1040,2025-04-03 11:04:34.000,P103,Beauty,30100.0,1
ORD5223,CUST1270,2025-01-25 01:04:45.000,P103,Homeware,22200.0,1
ORD5226,CUST1260,2025-02-04 04:09:25.000,P102,Electronics,41100.0,1
ORD5254,CUST1300,2025-03-18 23:31:34.000,P105,Health,19900.0,1
ORD5265,CUST1288,2025-01-04 15:20:03.000,P103,Accessories,33700.0,1
ORD5268,CUST1252,2024-12-09 05:17:21.000,P105,Electronics,14000.0,1
ORD5291,CUST1217,2025-02-23 12:46:08.000,P103,Health,14100.0,1
ORD5293,CUST1070,2025-01-18 00:46:55.000,P103,Health,46400.0,1
ORD5297,CUST1037,2025-01-16 22:42:26.000,P104,Beauty,44100.0,1
ORD5299,CUST1392,2024-12-06 12:23:56.000,P102,Beauty,36000.0,2
ORD5323,CUST1432,2025-03-23 20:06:01.000,P104,Electronics,29900.0,1
ORD5340,CUST1044,2024-12-15 16:29:24.000,P103,Homeware,31400.0,1
ORD5345,CUST1320,2025-03-02 15:40:54.000,P100,Homeware,25500.0,1
ORD5346,CUST1092,2025-03-12 21:31:57.000,P100,Fashion,42900.0,1
ORD5381,CUST1218,2025-01-23 05:03:48.000,P101,Homeware,34800.0,1
ORD5394,CUST1463,2025-02-21 03:06:14.000,P100,Electronics,4400.0,1
ORD5395,CUST1301,2025-01-23 12:27:08.000,P105,Beauty,40500.0,2
ORD5400,CUST1167,2025-01-24 01:48:22.000,P101,Fashion,31800.0,1
ORD5418,CUST1492,2024-12-23 07:59:51.000,P102,Beauty,18100.0,1
ORD5422,CUST1312,2025-02-06 12:03:11.000,P101,Beauty,7000.0,1
ORD5528,CUST1277,2024-12-25 07:02:52.000,P102,Accessories,34200.0,1
ORD5538,CUST1153,2025-03-09 09:47:32.000,P103,Accessories,42700.0,1
ORD5539,CUST1292,2025-01-24 03:48:12.000,P104,Homeware,45000.0,1
ORD5572,CUST1154,2024-12-10 12:25:27.000,P105,Fashion,37700.0,1
ORD5575,CUST1456,2025-01-31 13:15:36.000,P103,Accessories,46700.0,1
ORD5593,CUST1310,2024-12-13 02:52:30.000,P103,Accessories,26600.0,1
ORD5628,CUST1438,2025-03-17 20:57:15.000,P105,Homeware,22300.0,1
ORD5642,CUST1429,2024-12-11 20:36:46.000,P102,Electronics,14000.0,1
ORD5707,CUST1485,2025-03-30 22:46:43.000,P100,Beauty,18000.0,1
ORD5713,CUST1182,2025-01-21 13:49:25.000,P102,Homeware,46400.0,1
ORD5732,CUST1170,2025-01-12 20:20:37.000,P103,Fashion,24300.0,2
